center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.3652,0.5397,397.6,1778176380.561,Centru
0.8505,0.0000,301.4,1778176382.170,Dreapta-Sus
0.9139,0.0025,2993.4,1778176382.569,Dreapta-Sus
0.9235,0.0082,2297.8,1778176385.767,Dreapta-Sus
0.8852,0.0423,284.1,1778176388.171,Dreapta-Sus
0.6964,0.1750,112.8,1778176388.965,Dreapta-Sus
0.4794,0.3322,112.2,1778176389.656,Centru-Sus
0.3801,0.3201,301.8,1778176390.057,Centru-Sus
0.3175,0.2783,1210.3,1778176390.457,Stanga-Sus
0.3079,0.1588,677.8,1778176391.776,Stanga-Sus
0.3516,0.1349,689.0,1778176392.570,Centru-Sus
0.3998,0.2000,494.9,1778176393.368,Centru-Sus
0.4627,0.2342,397.5,1778176393.961,Centru-Sus
0.5184,0.2550,114.8,1778176394.461,Centru-Sus
0.6440,0.2540,1003.3,1778176394.861,Centru-Sus
0.9981,0.3026,1202.9,1778176396.663,Dreapta-Sus
0.9311,0.2984,6603.5,1778176397.958,Dreapta-Sus
0.9022,0.3661,3088.6,1778176404.664,Dreapta-Mijloc
