norm_x,norm_y,timestamp
0.1777,0.7315,1776939626.394
0.1658,0.7623,1776939626.411
0.1582,0.7373,1776939626.446
0.1604,0.7353,1776939626.482
0.1647,0.7315,1776939626.513
0.1691,0.7276,1776939626.566
0.1734,0.7296,1776939626.594
0.1745,0.7296,1776939626.635
0.1734,0.7296,1776939626.673
0.1766,0.7296,1776939626.708
0.1788,0.7276,1776939626.735
0.1821,0.7257,1776939626.786
0.1842,0.7238,1776939626.818
0.1897,0.7218,1776939626.867
0.1929,0.7160,1776939626.902
0.1994,0.7122,1776939626.928
0.2168,0.6968,1776939626.977
0.2320,0.6890,1776939627.010
0.2374,0.6833,1776939627.045
0.2483,0.6794,1776939627.090
0.2635,0.6813,1776939627.128
0.2776,0.6698,1776939627.154
0.2949,0.6601,1776939627.208
0.3101,0.6408,1776939627.241
0.3296,0.6100,1776939627.275
0.3513,0.5772,1776939627.307
0.3741,0.5444,1776939627.339
0.4013,0.5058,1776939627.386
0.4240,0.4788,1776939627.416
0.4501,0.4537,1776939627.449
0.4707,0.4344,1776939627.495
0.4902,0.4093,1776939627.526
0.5076,0.3881,1776939627.559
0.5250,0.3688,1776939627.615
0.5423,0.3476,1776939627.646
0.5553,0.3341,1776939627.698
0.5727,0.3148,1776939627.726
0.5901,0.2955,1776939627.762
0.6074,0.2801,1776939627.810
0.6248,0.2647,1776939627.841
0.6378,0.2492,1776939627.872
0.6552,0.2319,1776939627.920
0.6714,0.2222,1776939627.952
0.6834,0.2126,1776939627.988
0.6986,0.2029,1776939628.038
0.7116,0.1952,1776939628.066
0.7268,0.1856,1776939628.114
0.7398,0.1779,1776939628.147
0.7539,0.1721,1776939628.179
0.7658,0.1682,1776939628.228
0.7789,0.1644,1776939628.261
0.7951,0.1624,1776939628.289
0.8060,0.1547,1776939628.342
0.8136,0.1547,1776939628.370
0.8201,0.1470,1776939628.407
0.8201,0.1431,1776939628.457
0.8190,0.1354,1776939628.482
0.8179,0.1316,1776939628.510
0.8116,0.1264,1776939628.552
0.8060,0.1181,1776939628.603
0.8027,0.1123,1776939628.633
0.7973,0.1084,1776939628.691
0.7951,0.0988,1776939628.717
0.7973,0.0853,1776939628.743
0.7982,0.0808,1776939628.778
0.8060,0.0775,1776939628.807
0.8082,0.0698,1776939628.859
0.8147,0.0640,1776939628.894
0.8255,0.0621,1776939628.925
0.8299,0.0602,1776939628.979
0.8429,0.0602,1776939629.007
0.8505,0.0602,1776939629.040
0.8646,0.0660,1776939629.090
0.8722,0.0602,1776939629.122
0.8798,0.0583,1776939629.172
0.8895,0.0544,1776939629.201
0.8961,0.0448,1776939629.233
0.8950,0.0351,1776939629.280
0.9001,0.0304,1776939629.313
0.9026,0.0216,1776939629.346
0.9036,0.0139,1776939629.394
0.9015,0.0100,1776939629.427
0.9015,0.0081,1776939629.455
0.9047,0.0023,1776939629.507
0.9069,0.0100,1776939629.532
0.9052,0.0001,1776939629.585
0.9080,0.0023,1776939629.618
0.9047,0.0000,1776939629.651
0.9063,0.0000,1776939629.698
0.9058,0.0000,1776939629.726
0.9058,0.0000,1776939629.756
0.9086,0.0022,1776939629.809
0.9123,0.0004,1776939629.839
0.9102,0.0023,1776939629.873
0.9134,0.0081,1776939629.920
0.9145,0.0042,1776939629.949
0.9145,0.0100,1776939629.985
0.9180,0.0128,1776939630.031
0.9210,0.0158,1776939630.062
0.9158,0.0186,1776939630.112
0.9364,0.0377,1776939630.146
0.9351,0.0235,1776939630.178
0.9373,0.0158,1776939630.225
0.9264,0.0274,1776939630.258
0.9275,0.0409,1776939630.290
0.9202,0.0378,1776939630.336
0.9156,0.0293,1776939630.368
0.9188,0.0255,1776939630.403
0.9134,0.0235,1776939630.449
0.9188,0.0293,1776939630.481
0.9179,0.0255,1776939630.528
0.9156,0.0274,1776939630.567
0.9167,0.0370,1776939630.591
0.9416,0.0081,1776939630.638
0.9264,0.0023,1776939630.671
0.9362,0.0081,1776939630.703
0.9178,0.0274,1776939630.752
0.9210,0.0370,1776939630.788
0.9134,0.0313,1776939630.816
0.9118,0.0292,1776939630.863
0.9058,0.0216,1776939630.898
0.9036,0.0216,1776939630.946
0.9091,0.0235,1776939630.977
0.9058,0.0255,1776939631.007
0.9373,0.0216,1776939631.058
0.9373,0.0042,1776939631.091
0.9384,0.0120,1776939631.119
0.9178,0.0351,1776939631.174
0.9112,0.0467,1776939631.202
0.9063,0.0353,1776939631.234
0.9069,0.0293,1776939631.280
0.9058,0.0255,1776939631.314
0.9091,0.0274,1776939631.350
0.9026,0.0216,1776939631.393
0.9058,0.0255,1776939631.419
0.9310,0.0318,1776939631.460
0.9470,0.0004,1776939631.509
0.9379,0.0330,1776939631.537
0.9263,0.0151,1776939631.589
0.9145,0.0486,1776939631.617
0.9091,0.0428,1776939631.651
0.9047,0.0525,1776939631.700
0.8993,0.0390,1776939631.732
0.8950,0.0448,1776939631.758
0.8874,0.0390,1776939631.808
0.8830,0.0409,1776939631.839
0.8798,0.0448,1776939631.871
0.8711,0.0313,1776939631.919
0.8700,0.0370,1776939631.951
0.8602,0.0313,1776939632.003
0.8559,0.0332,1776939632.033
0.8505,0.0332,1776939632.062
0.8477,0.0410,1776939632.114
0.8429,0.0448,1776939632.145
0.8396,0.0486,1776939632.178
0.8353,0.0563,1776939632.226
0.8331,0.0583,1776939632.255
0.8309,0.0640,1776939632.284
0.8223,0.0660,1776939632.340
0.8168,0.0679,1776939632.370
0.8126,0.0778,1776939632.419
0.8244,0.0833,1776939632.449
0.8463,0.0377,1776939632.481
0.8212,0.0988,1776939632.530
0.8212,0.0988,1776939632.563
0.8223,0.0988,1776939632.632
0.8244,0.1007,1776939632.654
0.8255,0.1065,1776939632.674
0.8234,0.1142,1776939632.703
0.8190,0.1277,1776939632.749
0.8179,0.1393,1776939632.783
0.8147,0.1547,1776939632.814
0.8147,0.1624,1776939632.868
0.8158,0.1701,1776939632.899
0.8158,0.1779,1776939632.937
0.8147,0.1836,1776939632.972
0.8136,0.1894,1776939633.001
0.8147,0.1914,1776939633.062
0.8223,0.1817,1776939633.092
0.8309,0.1701,1776939633.128
0.8385,0.1547,1776939633.162
0.8440,0.1373,1776939633.195
0.8494,0.1219,1776939633.223
0.8537,0.1046,1776939633.283
0.8624,0.0988,1776939633.307
0.8700,0.0930,1776939633.338
0.8841,0.0891,1776939633.395
0.8917,0.0872,1776939633.422
0.9004,0.0853,1776939633.470
0.9047,0.0853,1776939633.501
0.9047,0.0814,1776939633.538
0.9069,0.0795,1776939633.592
0.9069,0.0775,1776939633.622
0.9080,0.0756,1776939633.651
0.9091,0.0737,1776939633.708
0.9123,0.0718,1776939633.730
0.9123,0.0718,1776939633.752
0.9102,0.0718,1776939633.805
0.9102,0.0698,1776939633.837
0.9145,0.0660,1776939633.873
0.9156,0.0621,1776939633.919
0.9123,0.0525,1776939633.958
0.9015,0.0428,1776939633.998
0.8939,0.0351,1776939634.027
0.8917,0.0274,1776939634.063
0.8950,0.0235,1776939634.104
0.9026,0.0216,1776939634.140
0.9102,0.0139,1776939634.179
0.9167,0.0100,1776939634.221
0.9210,0.0081,1776939634.248
0.9243,0.0062,1776939634.286
0.9264,0.0042,1776939634.336
0.9308,0.0000,1776939634.365
0.9351,0.0004,1776939634.393
0.9416,0.0004,1776939634.460
0.9514,0.0042,1776939634.484
0.9557,0.0042,1776939634.521
0.9568,0.0042,1776939634.555
0.9601,0.0120,1776939634.586
0.9847,0.0120,1776939634.643
0.9785,0.0100,1776939634.669
0.9763,0.0100,1776939634.697
0.9731,0.0197,1776939634.752
0.9678,0.0301,1776939634.787
0.9579,0.0255,1776939634.821
0.9590,0.0216,1776939634.872
0.9601,0.0158,1776939634.893
0.9590,0.0158,1776939634.924
0.9579,0.0139,1776939634.976
0.9579,0.0120,1776939635.002
0.9557,0.0081,1776939635.054
0.9536,0.0100,1776939635.088
0.9492,0.0120,1776939635.118
0.9460,0.0100,1776939635.162
0.9427,0.0042,1776939635.194
0.9373,0.0042,1776939635.227
0.9340,0.0004,1776939635.276
0.9308,0.0004,1776939635.323
0.9286,0.0000,1776939635.355
0.9286,0.0000,1776939635.400
0.9275,0.0000,1776939635.430
0.9243,0.0000,1776939635.465
0.9243,0.0000,1776939635.512
0.9199,0.0000,1776939635.548
0.9178,0.0000,1776939635.593
0.9188,0.0004,1776939635.627
0.9253,0.0216,1776939635.660
0.9395,0.0235,1776939635.706
0.9329,0.0390,1776939635.742
0.9308,0.0448,1776939635.776
0.9243,0.0351,1776939635.816
0.9188,0.0274,1776939635.838
0.9178,0.0197,1776939635.871
0.9178,0.0216,1776939635.918
0.9178,0.0255,1776939635.947
0.9178,0.0293,1776939635.997
0.9167,0.0313,1776939636.034
0.9156,0.0332,1776939636.076
0.9123,0.0351,1776939636.110
0.9102,0.0351,1776939636.139
0.9102,0.0351,1776939636.189
0.9069,0.0370,1776939636.239
0.8982,0.0409,1776939636.265
0.8874,0.0505,1776939636.302
0.8798,0.0602,1776939636.333
0.8678,0.0718,1776939636.362
0.8548,0.0872,1776939636.405
0.8375,0.1084,1776939636.464
0.8201,0.1335,1776939636.491
0.8016,0.1605,1776939636.518
0.7843,0.1836,1776939636.554
0.7702,0.2087,1776939636.607
0.7550,0.2280,1776939636.646
0.7441,0.2473,1776939636.686
0.7355,0.2608,1776939636.708
0.7279,0.2762,1776939636.751
0.7257,0.2917,1776939636.793
0.7214,0.3071,1776939636.820
0.7192,0.3206,1776939636.878
0.7170,0.3302,1776939636.910
0.7170,0.3457,1776939636.942
0.7181,0.3553,1776939636.989
0.7192,0.3688,1776939637.021
0.7181,0.3785,1776939637.053
0.7181,0.3920,1776939637.096
0.7203,0.3997,1776939637.128
0.7203,0.4074,1776939637.153
0.7192,0.4151,1776939637.205
0.7181,0.4248,1776939637.243
0.7170,0.4344,1776939637.293
0.7127,0.4421,1776939637.318
0.7072,0.4498,1776939637.342
0.7007,0.4576,1776939637.397
0.6964,0.4672,1776939637.424
0.6910,0.4769,1776939637.453
0.6834,0.4865,1776939637.508
0.6758,0.4961,1776939637.538
0.6714,0.5058,1776939637.570
0.6660,0.5135,1776939637.615
0.6628,0.5231,1776939637.650
0.6584,0.5309,1776939637.680
0.6530,0.5367,1776939637.736
0.6476,0.5444,1776939637.759
0.6411,0.5444,1776939637.794
0.6378,0.5482,1776939637.850
0.6345,0.5521,1776939637.877
0.6280,0.5521,1776939637.929
0.6237,0.5521,1776939637.960
0.6194,0.5502,1776939637.989
0.6194,0.5482,1776939638.033
0.6150,0.5482,1776939638.074
0.6139,0.5405,1776939638.105
0.6107,0.5405,1776939638.152
0.6085,0.5405,1776939638.182
0.6042,0.5328,1776939638.207
0.6020,0.5328,1776939638.266
0.5987,0.5270,1776939638.293
0.5966,0.5251,1776939638.318
0.5955,0.5193,1776939638.365
0.5933,0.5174,1776939638.394
0.5922,0.5174,1776939638.451
0.5890,0.5174,1776939638.474
0.5879,0.5154,1776939638.511
0.5933,0.5444,1776939638.560
0.5966,0.5714,1776939638.587
0.5890,0.5617,1776939638.625
0.5890,0.5444,1776939638.674
0.5857,0.5347,1776939638.702
0.5857,0.5270,1776939638.735
0.5825,0.5212,1776939638.797
0.5857,0.5174,1776939638.814
0.5846,0.5174,1776939638.864
0.5857,0.5174,1776939638.892
0.5846,0.5174,1776939638.923
0.5814,0.5193,1776939638.980
0.5814,0.5193,1776939639.001
0.5836,0.5174,1776939639.032
0.5825,0.5212,1776939639.083
0.5814,0.5212,1776939639.116
0.5814,0.5174,1776939639.149
0.5814,0.5174,1776939639.191
0.5825,0.5174,1776939639.223
0.5868,0.5174,1776939639.257
0.5879,0.5116,1776939639.306
0.5977,0.5096,1776939639.353
0.6128,0.4961,1776939639.373
0.6302,0.4846,1776939639.417
0.6487,0.4691,1776939639.452
0.6682,0.4518,1776939639.513
0.6812,0.4325,1776939639.539
0.6921,0.4151,1776939639.559
0.6997,0.3978,1776939639.617
0.7007,0.3958,1776939639.653
0.7018,0.3997,1776939639.675
0.7062,0.3881,1776939639.722
0.7094,0.3804,1776939639.753
0.7105,0.3727,1776939639.793
0.7116,0.3688,1776939639.830
0.7159,0.3650,1776939639.867
0.7170,0.3650,1776939639.898
0.7181,0.3650,1776939639.947
0.7148,0.3669,1776939639.984
0.7116,0.3708,1776939640.029
0.7062,0.3785,1776939640.060
0.7040,0.3843,1776939640.088
0.6975,0.3939,1776939640.138
0.6953,0.4074,1776939640.168
0.6888,0.4228,1776939640.205
0.6855,0.4421,1776939640.253
0.6790,0.4672,1776939640.283
0.6747,0.5000,1776939640.314
0.6671,0.5309,1776939640.361
0.6606,0.5656,1776939640.390
0.6530,0.6061,1776939640.427
0.6465,0.6466,1776939640.486
0.6454,0.6852,1776939640.522
0.6400,0.7296,1776939640.565
0.6389,0.7681,1776939640.587
0.6356,0.8029,1776939640.615
0.6345,0.8318,1776939640.673
0.6335,0.8607,1776939640.696
0.6345,0.8800,1776939640.734
0.6313,0.8974,1776939640.780
0.6302,0.9128,1776939640.807
0.6280,0.9263,1776939640.845
0.6215,0.9360,1776939640.896
0.6194,0.9437,1776939640.935
0.6161,0.9475,1776939640.971
0.6161,0.9533,1776939641.018
0.6161,0.9533,1776939641.048
0.6161,0.9552,1776939641.075
0.6172,0.9610,1776939641.119
0.6194,0.9610,1776939641.156
0.6237,0.9591,1776939641.195
0.6259,0.9591,1776939641.237
0.6302,0.9610,1776939641.266
0.6345,0.9610,1776939641.313
0.6378,0.9649,1776939641.346
0.6411,0.9668,1776939641.377
0.6432,0.9726,1776939641.420
0.6454,0.9765,1776939641.458
0.6465,0.9823,1776939641.483
0.6487,0.9842,1776939641.536
0.6487,0.9900,1776939641.566
